Age,Gender,Location,Phone Brand,OS,Screen Time (hrs/day),Data Usage (GB/month),Calls Duration (mins/day),Number of Apps Installed,Social Media Time (hrs/day),E-commerce Spend (INR/month),Streaming Time (hrs/day),Gaming Time (hrs/day),Monthly Recharge Cost (INR),Primary Use,Primary Use Encoded,cluster_kmeans,cluster_hierarchical,cluster_dbscan,cluster_gmm,cluster_spectral
53,1,8,8,0,3.7,23.9,37.9,104,3.9,469,5.2,4.1,803,0,0,1,0,0,0,0
60,2,3,6,0,9.2,28.1,13.7,169,2.8,4997,5.1,0.4,1526,2,2,3,0,0,0,0
37,0,0,3,0,4.5,12.3,66.8,96,3,2381,1.7,2.9,1619,1,1,1,0,0,0,0
32,1,9,7,0,11,25.6,156.2,146,5.2,1185,3.2,0.3,1560,1,1,0,0,0,0,0
16,1,8,9,0,2.2,2.5,236.2,86,5.5,106,3.4,2.3,742,3,3,1,0,0,0,0
21,1,5,5,0,5.4,10.6,210.6,25,4.2,6285,0.6,4.8,1749,1,1,1,0,0,0,0
57,0,7,0,1,6,35.2,154.5,123,0.8,2653,2.9,2.3,1073,3,3,2,1,1,1,1
56,2,6,6,0,3.1,43.5,125.3,188,2.3,9767,5.2,5,1136,1,1,3,0,0,0,0
46,0,6,5,0,5.3,46.4,21.3,194,3.7,2870,6.1,2.8,1253,1,1,1,0,0,0,0
44,2,6,0,1,9.9,10.6,180.2,84,4.8,9193,7.6,0.4,168,0,0,2,1,1,1,1
55,2,7,3,0,1.6,23.7,192,27,3.1,9330,1.2,2.3,1098,4,4,3,0,0,0,0
41,0,3,5,0,7.5,23.5,84.9,187,0.9,643,3.5,2.7,151,3,3,0,0,0,0,0
53,1,1,6,0,10.5,1.4,33.7,137,4.5,7854,7.2,1.4,240,0,0,0,0,0,0,0
35,1,5,6,0,10.3,32.4,247.1,124,5.2,3347,3.8,4.5,972,3,3,0,0,0,0,0
33,0,5,7,0,1.7,33.2,208.8,121,3,3185,4.2,0.5,1046,1,1,1,0,0,0,0
52,1,1,1,0,5.1,28.5,169.2,161,4.6,6175,4.4,4.3,1769,4,4,1,0,0,0,0
46,2,8,0,1,3.1,23.6,153.9,183,2.5,6242,6.2,0.4,1679,0,0,2,1,1,1,1
54,1,6,0,1,11.6,12.6,210.4,62,4.9,4642,0.9,4.1,1360,1,1,2,1,1,1,1
50,0,2,1,0,5.3,5.2,235.6,188,4.6,1120,1,0.8,1639,4,4,1,0,0,0,0
40,2,4,2,0,9,38.9,289.6,62,2.4,8012,7.7,2,1224,4,4,3,0,0,0,0
60,1,9,7,0,10.4,46,38,110,3,511,6.8,1.3,311,3,3,0,0,0,0,0
59,2,9,9,0,11.7,9.1,203.9,101,5.8,2579,2.6,4.1,446,2,2,3,0,0,0,0
46,2,2,7,0,8.1,15.5,206.8,77,5.9,1776,3.4,2.5,899,3,3,3,0,0,0,0
16,0,4,8,0,1.4,25.5,222,141,1.6,1119,2.8,0.4,1118,2,2,1,0,0,0,0
29,0,1,6,0,7,41.7,51,130,1.4,2604,3.5,1.6,1154,0,0,0,0,0,0,0
36,1,4,8,0,5.6,47.4,155.4,123,5.9,1886,2.3,3,955,4,4,1,0,0,0,0
15,1,3,8,0,9.2,42.7,230.9,180,0.5,4611,1,2.5,210,2,2,0,0,0,0,0
41,2,5,6,0,8.1,44.1,81.8,25,1.9,5545,5.7,3.7,1488,0,0,3,0,0,0,0
51,0,6,8,0,10.7,45.1,94,127,3.5,2293,6.7,5,333,0,0,0,0,0,0,0
45,0,4,6,0,6.3,34.5,244.3,125,5,1647,5.9,0.2,1541,1,1,1,0,0,0,0
39,0,5,2,0,4,9.4,194.2,32,1.5,8314,6.7,3.5,447,1,1,1,0,0,0,0
40,0,7,4,0,8.4,25.7,262.8,174,1.3,3010,4.9,3,419,0,0,0,0,0,0,0
28,0,2,9,0,5.3,16.8,264.9,84,1.3,9222,7.2,3,1699,3,3,1,0,0,0,0
23,0,2,2,0,11.4,48.4,216.8,98,3.2,5026,2.7,4.9,1079,2,2,0,0,0,0,0
57,1,3,8,0,4.1,31.2,61.5,149,5.1,386,3.9,1,1935,3,3,1,0,0,0,0
